Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
SUN,Suncorp Group Limited,Financials,"16,854,600,000",0.96,,,
SVW,Seven Group Holdings,Industrials,"5,358,460,000",0.3,,,
SWM,Seven West Media Limited,Consumer Discretionary,"814,339,000",0.05,,,
SXL,STHN Cross Media,Consumer Discretionary,"807,464,000",0.05,,,
SXY,SENEX Energy Limited,Energy,"501,285,000",0.03,,,
SYD,SYD Airport FP Ordinary/Units Stapled Securities,Industrials,"14,794,300,000",0.84,,,
SYR,Syrah Resources,Materials,"537,740,000",0.03,,,
TAH,Tabcorp Holdings Limited,Consumer Discretionary,"9,372,650,000",0.53,,,
TCL,Transurban Group FP Ordinary/Units Stapled Securities,Industrials,"32,513,600,000",1.84,,,
TGR,Tassal Group Limited,Consumer Staples,"772,870,000",0.04,,,
TLS,Telstra Corporation,Telecommunication Services,"36,988,200,000",2.1,,,
TME,Trade Me Group Foreign Exempt NZX,Consumer Discretionary,"2,389,780,000",0.14,,,
TNE,Technology One,Information Technology,"2,210,330,000",0.13,,,
TPM,TPG Telecom Limited,Telecommunication Services,"6,485,400,000",0.37,,,
TWE,Treasury Wine Estate,Consumer Staples,"11,103,400,000",0.63,,,
URW,Unibailrodawestfield Chess Depositary Interests 20:1,Real Estate,"4,862,340,000",0.28,,,
VCX,Vicinity Centres FP Ordinary/Units Stapled Securities,Real Estate,"9,999,570,000",0.57,,,
VEA,Viva Energy Group,Energy,"3,577,940,000",0.2,,,
VLW,Villa World Limited,Real Estate,"234,150,000",0.01,,,
VOC,Vocus Group Limited,Telecommunication Services,"2,097,030,000",0.12,,,
VRL,Village Roadshow Limited,Consumer Discretionary,"592,577,000",0.03,,,
VRT,Virtus Health Limited,Health Care,"337,638,000",0.02,,,
VVR,Viva Energy REIT FP Ordinary/Units Stapled Securities,Real Estate,"1,640,190,000",0.09,,,
WBA,Webster Limited,Consumer Staples,"557,858,000",0.03,,,
WBC,Westpac Banking Corp,Financials,"84,637,900,000",4.8,,,
WEB,Webjet Limited,Consumer Discretionary,"1,624,500,000",0.09,,,
WES,Wesfarmers Limited,Consumer Discretionary,"36,521,000,000",2.07,,,
WGN,Wagners HLD Company,Materials,"464,762,000",0.03,,,
WGX,Westgold Resources,Materials,"396,892,000",0.02,,,
WHC,Whitehaven Coal,Energy,"5,078,930,000",0.29,,,
WOR,Worleyparsons Limited,Energy,"6,395,450,000",0.36,,,
WOW,Woolworths Group Limited,Consumer Staples,"38,692,500,000",2.19,,,
WPL,Woodside Petroleum,Energy,"32,128,700,000",1.82,,,
WPP,WPP AUNZ Limited,Consumer Discretionary,"468,684,000",0.03,,,
WSA,Western Areas Limited,Materials,"642,693,000",0.04,,,
WTC,Wisetech Global Limited,Information Technology,"6,122,840,000",0.35,,,
XRO,Xero Limited,Information Technology,"6,122,240,000",0.35,,,
